Questions,Answers
How do I register for a KRA PIN,You can register for a KRA PIN by visiting the iTax portal and selecting 'New PIN Registration'. You will need your national ID number and date of birth.
When is the deadline for filing individual income tax returns,The deadline for filing individual income tax returns in Kenya is 30th June of the following year.
What is the penalty for late filing of VAT returns,"The penalty is KES 10,000 or 5% of the VAT due, whichever is higher."
Can I recover a forgotten KRA password,Yes. Go to the iTax login page and click on 'Forgot Password'. Enter your PIN and answer the security question to reset it.
How do I apply for a KRA PIN,"To apply for a KRA PIN, visit https://itax.kra.go.ke/, click on ""New PIN Registration,"" and follow the steps. You will need your ID number, date of birth, and other personal details."
I forgot my KRA PIN. What should I do,"If you’ve forgotten your KRA PIN, visit the iTax portal and click on “Forgot Password.” Enter your email address or ID number, and follow the instructions to retrieve your PIN via email."
How do I file returns if I didn't earn any income,"You should file a nil return. Log into your iTax account, go to “Returns,” select “File Nil Return,” choose your tax obligation (usually Income Tax - Resident Individual), and submit."
What is a Tax Compliance Certificate (TCC) and how do I get one,A TCC shows that you have met all your tax obligations. You can apply for it through your iTax account under the “Certificates” tab. Approval is usually within 5 business days if you’re compliant.
What is PAYE,PAYE (Pay As You Earn) is a method of collecting Income Tax from employees by deducting it directly from their salaries each month.
Who should pay PAYE,PAYE must be remitted monthly by employers on behalf of their employees.
How do I transfer vehicle ownership,"Log into NTSA’s TIMS portal, go to “Vehicle Registration,” select “Transfer Ownership,” and follow the instructions. A KRA PIN is required for both the seller and buyer."
What is Turnover Tax (TOT),Turnover Tax (TOT) applies to businesses with an annual income between KES 1 million and KES 25 million. It's charged at 1% of gross sales and filed monthly.
Who pays for turnover tax,Small businesses with an annual gross turnover of KES 1 million to KES 25 million.
Can I get a waiver for tax penalties,"Yes. Log into your iTax account, navigate to “Debt and Enforcement,” and select “Waiver Application.” Fill in the required details and provide a reason and supporting documents."
What is a waiver,A waiver application is a request made by a taxpayer for consideration. penalties and interest to be remitted where they fail to pay their taxes. or file returns by stipulated due dates to Commissioner Domestic Taxes. This provision covers only penalty and interest.
How can I contact KRA,"You can reach KRA via: Phone: 0711 099 999 or 020 4999 999, Email: callcentre@kra.go.ke, Twitter: @KRACare"
Who is exempt from Turnover Tax,"You are exempt from TOT if your income is below KES 1 million or above KES 25 million annually, or if you're engaged in professional services like law, medicine, accounting, or rental and management income."
How do I file Turnover Tax,"Log in to your iTax account at itax.kra.go.ke. Under 'Returns,' select 'File Turnover Tax Return,' fill in your gross sales for the month, and submit. TOT is due by the 20th of the following month."
What is the current rate for Turnover Tax,The current rate for Turnover Tax in Kenya is 1% of your gross monthly income
What happens if I don’t file TOT on time,"Failure to file TOT on time attracts a penalty of KES 1,000 per month for individuals and KES 10,000 for companies, plus interest on unpaid tax."
What is Value Added Tax (VAT),"VAT (Value Added Tax) is a consumption tax charged on the supply of taxable goods and services in Kenya. It is currently levied at 16% for standard-rated goods, with some goods being zero-rated or exempt."
Who is required to register for VAT,Any business with a taxable turnover of KES 5 million or more per year is legally required to register for VAT with KRA. Voluntary registration is also allowed for smaller businesses.
How do I register for VAT in Kenya,"You can register for VAT via the iTax portal. Log in with your KRA PIN, go to ""Registration,"" then select ""Amend PIN"" to add the VAT obligation."
What is the current VAT rate in Kenya?,The standard VAT rate in Kenya is 16%. Some goods and services are zero-rated (0%) or exempt from VAT depending on the nature of the product.
What is the difference between zero-rated and exempt goods?,"Zero-rated goods are taxed at 0% VAT and allow input VAT claims. Exempt goods are not taxed at all, and input VAT cannot be claimed. Zero-rated goods stay within the VAT system; exempt goods are outside it."
What are zero-rated goods,"Zero-rated goods are taxable goods that are charged VAT at 0%. While customers pay no VAT, businesses can still claim input VAT. Examples include exported goods, maize flour, and bread"
What are exempt goods,"Exempt goods are not subject to VAT at all. No VAT is charged, and businesses cannot claim input VAT. Examples include financial services, education, insurance, and residential rent."
What is input VAT,Input VAT is VAT you pay on goods/services you buy for your business.
What is output VAT,Output VAT is VAT you charge your customers.
What is the difference between input VAT and output VAT,Input VAT is VAT you pay on goods/services you buy for your business while output VAT is VAT you charge your customers.
Can I file a nil VAT return,"Yes, if your business had no taxable transactions during the month, you are still required to file a nil return through iTax."
What happens if I don't file my VAT returns,"You will be penalized KES 10,000 or 5% of the tax due (whichever is higher) for each month you fail to file."
How often should I file VAT returns,"VAT returns must be filed monthly, on or before the 20th of the following month."
Can I claim input VAT on zero-rated goods,"Yes, businesses can claim input VAT on purchases related to zero-rated goods."
Can I claim input VAT on exempt goods,"No, input VAT cannot be claimed on goods or services that are VAT-exempt."
How do I file VAT returns,"To file VAT returns, log in to the iTax portal, go to 'Returns,' select 'VAT Return,' input your sales and purchases, and submit the form by the 20th of the following month."
What happens if I don’t file VAT returns,"Failure to file VAT returns results in a penalty of KES 10,000 or 5% of the tax due, whichever is higher, plus interest on unpaid VAT."
What is a VAT refund,A VAT refund is money returned to a registered taxpayer when input VAT exceeds output VAT. You can apply for a refund through iTax with supporting documents.
When is VAT due,VAT is due monthly and must be filed and paid by the 20th day of the following month.
Differentiate between input and output VAT,Input VAT is the VAT you pay on purchases for your business. Output VAT is the VAT you charge on sales. Input VAT can be offset against output VAT during filing.
Can someone file a NIL return,"Yes, if one had no taxable sales or purchases in a month, you are required to file a nil VAT return by the 20th of the following month."
How do I deregister from VAT,You can deregister by applying through your iTax account if your turnover drops below KES 5 million or your business closes. KRA will review and confirm deactivation.
What documents are needed for VAT registration,"You’ll need a KRA PIN, business registration certificate, ID/passport, and proof of business activity such as invoices or bank statements."
How do I generate a VAT invoice,"A VAT invoice must include the supplier’s name, KRA PIN, invoice number, date, description of goods or services, and the VAT charged. Ensure it complies with KRA eTIMS requirements."
What is eTIMS,"eTIMS (Electronic Tax Invoice Management System) is a KRA system for issuing, transmitting, and validating VAT invoices digitally to improve compliance and transparency."
Is VAT charged on imported goods,"Yes, VAT is charged on imported goods at the standard rate of 16%. It is collected at the point of entry by the Kenya Revenue Authority (KRA) through Customs."
Is VAT charged on exports,"No, exports are zero-rated for VAT in Kenya. This means they are taxed at 0% and businesses can still claim input VAT."
What is Withholding VAT,Withholding VAT is a mechanism where certain appointed agents withhold a portion (usually 2%) of VAT payable to suppliers and remit it directly to KRA.
Who is required to withhold VAT,"Government ministries, parastatals, and certain large taxpayers appointed by KRA are required to withhold VAT on taxable supplies they receive."
Do I pay VAT on digital services,"Yes, VAT is applicable on digital services offered by non-resident suppliers to customers in Kenya. These suppliers must register for VAT in Kenya and file returns."
How can I reclaim VAT,You can reclaim input VAT by declaring it in your VAT return and offsetting it against output VAT. Ensure all invoices are valid and compliant with KRA eTIMS rules.
Is VAT charged on rent,"VAT is charged on commercial rent at 16%, but **residential rent** is exempt from VAT in Kenya."
Can non-residents register for VAT in Kenya,"Yes, non-resident suppliers of digital services must register for VAT with KRA and file monthly VAT returns through the simplified tax system."
How do I correct a VAT return after submission,"If you submitted incorrect VAT returns, you can file an amended return through the iTax portal under the 'Returns' section by selecting 'Amendment."
How do I track my VAT refund status,"Log in to your iTax account, go to 'Refund Status' under the 'Refunds' menu to view the processing stage of your VAT refund application."
